Member_ID,Age,Skills,Availability,Task_Preference,Family_ID
M001,50,"['Teaching', 'DIY', 'Cooking']",Afternoons,Physical,F1
M002,24,"['Cleaning', 'DIY']",Afternoons,Indoor,F1
M003,11,"['Cleaning', 'Teaching']",Afternoons,Outdoor,F1
M004,51,"['Painting', 'Organizing', 'Teaching']",Afternoons,Physical,F1
M005,47,"['Gardening', 'Cooking']",Evenings,Indoor,F1
M006,24,['Gardening'],Weekdays,Indoor,F2
M007,40,['Teaching'],Weekdays,Indoor,F2
M008,19,['Painting'],Evenings,Outdoor,F2
M009,30,"['Painting', 'DIY']",Evenings,Physical,F2
M010,21,"['Baking', 'Gardening']",Weekdays,Physical,F2
M011,45,"['Cleaning', 'DIY', 'Organizing']",Weekends,Outdoor,F3
M012,38,"['Teaching', 'Painting']",Weekends,Outdoor,F3
M013,32,['Teaching'],Evenings,Physical,F3
M014,31,['Baking'],Weekends,Creative,F3
M015,11,"['Teaching', 'Baking', 'Cooking']",Weekends,Creative,F3
M016,45,"['Teaching', 'Baking']",Weekends,Physical,F4
M017,51,"['Cooking', 'DIY', 'Cleaning']",Afternoons,Creative,F4
M018,56,"['Organizing', 'Baking', 'DIY']",Weekends,Creative,F4
M019,19,"['DIY', 'Organizing']",Weekends,Physical,F4
M020,11,"['Teaching', 'Baking']",Evenings,Physical,F4
M021,35,['Cleaning'],Weekends,Outdoor,F5
M022,56,['Gardening'],Evenings,Physical,F5
M023,48,"['Gardening', 'Teaching', 'Cleaning']",Weekdays,Outdoor,F5
M024,38,"['Organizing', 'Cooking', 'Teaching']",Afternoons,Indoor,F5
M025,39,"['Baking', 'Cleaning']",Evenings,Creative,F5
M026,56,['Cleaning'],Afternoons,Indoor,F6
M027,31,"['DIY', 'Organizing']",Afternoons,Creative,F6
M028,47,"['Cooking', 'Cleaning']",Evenings,Creative,F6
M029,20,['DIY'],Weekends,Indoor,F6
M030,12,"['Cleaning', 'Painting', 'Gardening']",Weekdays,Outdoor,F6
M031,20,"['Painting', 'Gardening']",Afternoons,Outdoor,F7
M032,29,"['Painting', 'Cooking']",Weekends,Outdoor,F7
M033,32,['Cleaning'],Evenings,Outdoor,F7
M034,54,"['Cleaning', 'Baking', 'Cooking']",Weekdays,Physical,F7
M035,55,"['DIY', 'Gardening']",Afternoons,Indoor,F7
