Member_ID,Age,Skills,Availability,Task Preference
M001,50,"['Teaching', 'DIY', 'Cooking']",Afternoons,Physical
M002,24,"['Cleaning', 'DIY']",Afternoons,Indoor
M003,11,"['Cleaning', 'Teaching']",Afternoons,Outdoor
M004,51,"['Painting', 'Organizing', 'Teaching']",Afternoons,Physical
M005,47,"['Gardening', 'Cooking']",Evenings,Indoor
M006,24,['Gardening'],Weekdays,Indoor
M007,40,['Teaching'],Weekdays,Indoor
M008,19,['Painting'],Evenings,Outdoor
M009,30,"['Painting', 'DIY']",Evenings,Physical
M010,21,"['Baking', 'Gardening']",Weekdays,Physical
M011,45,"['Cleaning', 'DIY', 'Organizing']",Weekends,Outdoor
M012,38,"['Teaching', 'Painting']",Weekends,Outdoor
M013,32,['Teaching'],Evenings,Physical
M014,31,['Baking'],Weekends,Creative
M015,11,"['Teaching', 'Baking', 'Cooking']",Weekends,Creative
M016,45,"['Teaching', 'Baking']",Weekends,Physical
M017,51,"['Cooking', 'DIY', 'Cleaning']",Afternoons,Creative
M018,56,"['Organizing', 'Baking', 'DIY']",Weekends,Creative
M019,19,"['DIY', 'Organizing']",Weekends,Physical
M020,11,"['Teaching', 'Baking']",Evenings,Physical
M021,35,['Cleaning'],Weekends,Outdoor
M022,56,['Gardening'],Evenings,Physical
M023,48,"['Gardening', 'Teaching', 'Cleaning']",Weekdays,Outdoor
M024,38,"['Organizing', 'Cooking', 'Teaching']",Afternoons,Indoor
M025,39,"['Baking', 'Cleaning']",Evenings,Creative
M026,56,['Cleaning'],Afternoons,Indoor
M027,31,"['DIY', 'Organizing']",Afternoons,Creative
M028,47,"['Cooking', 'Cleaning']",Evenings,Creative
M029,20,['DIY'],Weekends,Indoor
M030,12,"['Cleaning', 'Painting', 'Gardening']",Weekdays,Outdoor
M031,20,"['Painting', 'Gardening']",Afternoons,Outdoor
M032,29,"['Painting', 'Cooking']",Weekends,Outdoor
M033,32,['Cleaning'],Evenings,Outdoor
M034,54,"['Cleaning', 'Baking', 'Cooking']",Weekdays,Physical
M035,55,"['DIY', 'Gardening']",Afternoons,Indoor
M036,33,"['Organizing', 'Cooking', 'Cleaning']",Afternoons,Outdoor
M037,21,['Organizing'],Evenings,Indoor
M038,32,['Cooking'],Afternoons,Outdoor
M039,32,"['Cleaning', 'Painting']",Evenings,Outdoor
M040,34,['Baking'],Afternoons,Outdoor
M041,34,['Cleaning'],Evenings,Creative
M042,28,"['Gardening', 'Painting']",Afternoons,Outdoor
M043,34,"['Organizing', 'Cleaning', 'Painting']",Weekends,Outdoor
M044,10,['Organizing'],Weekdays,Indoor
M045,26,"['Baking', 'Cleaning']",Weekdays,Physical
M046,50,['DIY'],Weekends,Physical
M047,33,"['Cleaning', 'Teaching', 'Cooking']",Weekends,Indoor
M048,49,"['Organizing', 'Cooking']",Weekdays,Creative
M049,41,"['Painting', 'Gardening']",Afternoons,Indoor
M050,50,"['Organizing', 'Cleaning']",Weekends,Outdoor
M051,48,"['Painting', 'Organizing', 'Gardening']",Weekends,Indoor
M052,41,"['Cleaning', 'Painting', 'DIY']",Afternoons,Creative
M053,27,"['Baking', 'Organizing', 'Painting']",Weekdays,Outdoor
M054,43,['Baking'],Evenings,Outdoor
M055,43,"['Gardening', 'Painting', 'Cooking']",Weekdays,Physical
